title,author,avg_rating,genre,price,currency,cover_url,link,published_year_goodreads_x,ratings_count,published_year_goodreads_y,cluster_k3,cluster_k4,published_year_goodreads
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,Fiction,6.99,EUR,http://books.google.com/books/content?id=t1RrxL_sI70C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,2000.0,469022.0,2000.0,1,3,2000.0
A Story of Yesterday,Sergio Cobo,4.53,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,,,,1,3,
A Streetcar Named Desire,Tennessee Williams,3.98,Drama,11.3,EUR,http://books.google.com/books/content?id=hKadEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire,1947.0,194493.0,1947.0,0,1,1947.0
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.11,Fiction,8.99,NAN,,https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet,,,,1,1,
A Tale of Two Cities,Charles Dickens,3.88,English Literature,8.99,NAN,http://books.google.com/books/content?id=YqfPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,,,,0,0,
A Thousand Splendid Suns,Khaled Hosseini,4.45,Fiction,8.99,NAN,http://books.google.com/books/content?id=3vo0NQbIN2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,2007.0,818742.0,2007.0,1,3,2007.0
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,Fiction,8.99,EUR,http://books.google.com/books/content?id=Xp39K0c0IaEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/32542.A_Time_to_Kill,,,,1,1,
A Tree Grows in Brooklyn,Betty  Smith,4.3,Fiction,8.99,EUR,http://books.google.com/books/content?id=jalsLkb1GTUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,1943.0,291909.0,1943.0,1,3,1943.0
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.11,Nature,8.99,NAN,http://books.google.com/books/content?id=Z3uajyR0zFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods,,,,1,1,
A Walk to Remember,Nicholas Sparks,4.2,High School Students,8.99,NAN,http://books.google.com/books/content?id=yIz_zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/35545737-a-walk-to-remember,1999.0,546948.0,1999.0,1,1,1999.0
A Winter Grave,Peter  May,4.11,Fiction,13.99,EUR,http://books.google.com/books/content?id=uph0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/67998095-a-winter-grave,,,,1,1,
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,3.99,Juvenile Fiction,8.99,NAN,http://books.google.com/books/content?id=FD72ekYZqIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,1968.0,155042.0,1968.0,0,1,1968.0
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,Juvenile Fiction,6.95,EUR,http://books.google.com/books/content?id=r119-dYq0mwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,,,,0,1,
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.11,Fiction,11.3,EUR,http://books.google.com/books/content?id=97FmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,,,,1,1,
"Absalom, Absalom!",William Faulkner,3.96,Fiction,8.99,NAN,http://books.google.com/books/content?id=TgbTBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/373755.Absalom_Absalom_,1936.0,30283.0,1936.0,0,1,1936.0
"Accidental Mystic (Midlife Melody, #1)",Phoebe Ravencraft,4.11,Unknown,8.99,NAN,http://books.google.com/books/content?id=EwbqzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/59961135-accidental-mystic,,,,1,1,
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.11,Comics & Graphic Novels,8.99,NAN,http://books.google.com/books/content?id=ZdAkvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2299110.Acheron,,,,1,1,
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,Fiction,8.99,NAN,http://books.google.com/books/content?id=DEJHDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13831.Alanna,1983.0,85699.0,1983.0,1,3,1983.0
Alias Grace,Margaret Atwood,4.11,Fiction,2.99,EUR,http://books.google.com/books/content?id=d34hrIFL8mkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/72579.Alias_Grace,,,,1,1,
Alice in Wonderland,Jane Carruth,4.03,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland,,,,1,1,
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,Fiction,7.13,EUR,http://books.google.com/books/content?id=JiiQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,,,,1,1,
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,Unknown,8.99,NAN,http://books.google.com/books/content?id=Y_YBeZ8s0-0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small,1972.0,64779.0,1972.0,1,3,1972.0
All Quiet on the Western Front,Erich Maria Remarque,4.11,Juvenile Fiction,8.99,NAN,http://books.google.com/books/content?id=Ubk7YzNZGQUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,,,,1,1,
"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,4.05,Fiction,8.44,EUR,http://books.google.com/books/content?id=Y9uJUlGwJIUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/140075.All_Together_Dead,2007.0,162689.0,2007.0,1,1,2007.0
All the Bright Places,Jennifer Niven,4.11,Young Adult Fiction,8.99,EUR,http://books.google.com/books/content?id=qxX8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18460392-all-the-bright-places,,,,1,1,
All the King's Men,Robert Penn Warren,4.08,Fiction,8.99,NAN,http://books.google.com/books/content?id=QRO0ie4ZX6oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,1946.0,42821.0,1946.0,1,1,1946.0
All the Light We Cannot See,Anthony Doerr,4.31,Fiction,8.99,NAN,http://books.google.com/books/content?id=_AZ_AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,2014.0,470001.0,2014.0,1,3,2014.0
"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,3.97,Fiction,7.9,EUR,http://books.google.com/books/content?id=AbBKZvRo5S8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses,1992.0,68451.0,1992.0,0,1,1992.0
"Allegiant (Divergent, #3)",Veronica Roth,3.6,Young Adult Fiction,5.49,EUR,http://books.google.com/books/content?id=v5MH3ER4SWEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18710190-allegiant,2013.0,463257.0,2013.0,0,0,2013.0
Along for the Ride,Sarah Dessen,4.08,Young Adult Fiction,7.99,EUR,http://books.google.com/books/content?id=10pyGUw5it4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5664985-along-for-the-ride,2009.0,151721.0,2009.0,1,1,2009.0
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.1,Fiction,5.39,EUR,http://books.google.com/books/content?id=ryCGrxr7z98C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30165203-american-gods,,,,1,1,
American Psycho,Bret Easton Ellis,3.8,Fiction,8.99,NAN,http://books.google.com/books/content?id=cF51tQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/28676.American_Psycho,1991.0,166083.0,1991.0,0,0,1991.0
American Tabloid (Underworld USA #1),James Ellroy,4.11,Unknown,8.99,NAN,http://books.google.com/books/content?id=5PAbvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/36064.American_Tabloid,,,,1,1,
An Abundance of Katherines,John Green,3.63,Young Adult Fiction,8.99,NAN,http://books.google.com/books/content?id=3O40B12Q4xoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/49750.An_Abundance_of_Katherines,2006.0,312754.0,2006.0,0,0,2006.0
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.32,Young Adult Fiction,12.99,EUR,http://books.google.com/books/content?id=54IuEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,2015.0,45492.0,2015.0,1,3,2015.0
And Then There Were None,Agatha Christie,4.27,Fiction,3.74,EUR,http://books.google.com/books/content?id=gAD4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,1939.0,408983.0,1939.0,1,3,1939.0
And the Mountains Echoed,Khaled Hosseini,4.03,Fiction,7.89,EUR,http://books.google.com/books/content?id=7j2zvyKgeToC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16115612-and-the-mountains-echoed,2012.0,199326.0,2012.0,1,1,2012.0
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,Biography & Autobiography,8.99,NAN,http://books.google.com/books/content?id=MIzkBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,,,,1,1,
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.19,Fiction,0.99,EUR,http://books.google.com/books/content?id=mynyTFFmc_0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15863832-angelfall,2011.0,73886.0,2011.0,1,1,2011.0
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,4.11,Biography & Autobiography,8.99,EUR,http://books.google.com/books/content?id=SdcvT6brS04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/960.Angels_Demons,,,,1,1,
Angels Fall,Nora Roberts,3.98,Fiction,6.49,EUR,http://books.google.com/books/content?id=8s4oELPEVK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/26050.Angels_Fall,2006.0,34484.0,2006.0,0,1,2006.0
Angle of Repose,Wallace Stegner,4.27,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/292408.Angle_of_Repose,1971.0,40289.0,1971.0,1,3,1971.0
Animal Farm,George Orwell,4.01,Fiction,3.99,EUR,http://books.google.com/books/content?id=46X-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/170448.Animal_Farm,1945.0,1881700.0,1945.0,0,1,1945.0
Animal Farm / 1984,George Orwell,4.11,Fiction,3.99,EUR,http://books.google.com/books/content?id=lKHIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5472.Animal_Farm_1984,,,,1,1,
Anna Karenina,Leo Tolstoy,4.1,Fiction,8.99,NAN,http://books.google.com/books/content?id=1DooDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15823480-anna-karenina,,,,1,1,
